,,,
Page/Area,Feature / Functionality,Desktop,Mobile
Announcement Bar,Slider,,
Announcement Bar,Threshold,,
Global,Zendesk Chat Now,,
Global,Current Offer Popup,,
Homepage,Banner Carousel,,
Homepage,Collection Carousel - Nav Btn,,
Homepage,Collection Carousel - Variant Selector,,
Homepage,Collection Carousel - ATC,,
Homepage,Firework,,
Footer,Klaviyo Email Signup,,
Footer,SMS Signup,,
Collection,Filter,,
Collection,Sort Preferences,,
PDP ,Gallery,,
PDP,Yotpo Star Reviews,,
PDP,Review Highlights,,
PDP,Afterpay / Klarna,,
PDP,Variant Selectors,,
PDP,Recharge - One time,,
PDP,Recharge - Subscription ,,
PDP,Quantity Input,,
PDP,Add to Cart,,
PDP,Fenix Delivery Estimate,,
PDP,Frequently Bought With,,
PDP,Accordion,,
PDP,Firework - Video Carousel,,
PDP,Firework - Add to Cart,,
PDP,ClearStart - Skeepers - Video Carousel,,
PDP,ClearStart - Skeepers - Add to Cart,,
PDP,Yotpo Customer Reviews,,
PDP,You may also like Carousel,,
Cart ,GWP,,
Cart ,Subscription Dropdown,,
Cart ,Fenix ,,
Cart ,Offer Code ( WELCOME ),,
Cart ,Dynamic Checkout Option,,
Cart ,Subscription message,,
Cart ,Employee Discount ,,
Cart ,Easy Gift App,,
Login,Recharge Manage Subscription ,,
Login,Display Rewards Points & Tier,,
Login,Rewards Page,,
Login,Rewards Page - Redeem Products,,
Login,Rewards Page - Rewards History,,
Login,Rewards Page - Add Cart,,
,Landing Pages,,
Landing Page,Face Mapping - Image Analysis,,
Landing Page,Face Mapping - Quiz,,
Landing Page,Pages: Chat now ,,
Landing Page,Collection Carousel,,
Landing Page,Videos using iFrame,,
Landing Page,Accordion,,
Landing Page,Current Opportunity - ClearCompany,,
Landing Page,Store Locator,,
Landing Page,ClearStart - Carousel,,
Landing Page,ClearStart - Skeepers - Video Carousel,,
Landing Page,ClearStart - Skeepers - Add to Cart,,
Landing Page,Newsletter Signup,,
Landing Page,Pro Treatment,,
